awb,source,target,peso,pesotaxavel
057-94481015,LIS,SSG,21,"26,67"
118-11413640,LIS,LAD,1077,1077
470-20172132,LIS,TMS,343,343
118-11413651,LIS,LAD,25,"50,42"
047-05861785,LIS,MPM,37,"60,8"
551-40133472,LIS,OXB,405,"803,78"
047-05861796,LIS,MPM,222,222
047-05861800,LIS,RAI,58,"90,67"
221-03763174,LIS,FNC,4,4
331-84704410,LIS,PDL,4,4
047-05861811,LHR,VXE,215,215
221-03763185,LIS,FNC,41,41
331-84704421,LIS,PDL,49,49
331-84704432,LIS,TER,16,16
331-84704443,LIS,PIX,5,"9,63"
331-84704454,LIS,SMA,10,10
118-11413695,LIS,LAD,170,176
118-11413706,LIS,LAD,176,176
047-05861822,LIS,MPM,4,"4,68"
047-05861833,LIS,MPM,176,176
047-05861855,LIS,MPM,6,"11,39"
118-11413710,LIS,LAD,1330,1330
118-11413732,LIS,LAD,27,"86,4"
221-03763196,LIS,FNC,44,44
331-84704465,LIS,PDL,15,15
331-84704476,LIS,SMA,5,5
331-84704480,LIS,PIX,11,11
047-05861870,LIS,MPM,7,"9,33"
047-05861881,LIS,MPM,104,160
057-94481026,LIS,SSG,24,"78,01"
331-84704491,LIS,PDL,10,10
118-11413765,LIS,LAD,514,514
047-05861914,LIS,MPM,1,2
221-03763200,LIS,FNC,17,17
331-84704502,LIS,PDL,39,39
331-84704513,LIS,TER,5,5
331-84704524,LIS,TER,2,2
047-05861936,LIS,MPM,5,5
118-11413776,LIS,LAD,813,813
221-03763211,LIS,FNC,11,"17,34"
071-39942361,XMN,MPM,166,166
331-84704535,LIS,PDL,45,"47,79"
176-60968331,LIS,PEK,130,130
221-03763222,LIS,FNC,133,133
331-84704546,LIS,PDL,26,26
057-94481030,LIS,SSG,743,845
057-94481041,LIS,SSG,18,32
331-84704550,LIS,PDL,50,50
047-05861973,LIS,MPM,11,"13,4"
047-05861984,LIS,MPM,444,444
221-03763233,LIS,FNC,37,37
331-84704561,LIS,PDL,35,35
331-84704572,LIS,TER,10,10
331-84704583,LIS,TER,30,30
047-05862006,LIS,MPM,21,"22,64"
118-11413813,LIS,LAD,1560,1560
331-84704594,LIS,HOR,5,"20,83"
221-03763244,LIS,FNC,"27,5","40,16"
118-11413835,LIS,LAD,34,"92,8"
047-05862021,MXP,MPM,"30,6","35,67"
331-84704605,LIS,PDL,170,182
047-05862043,LIS,RAI,59,79
221-03763255,LIS,FNC,16,16
331-84704616,LIS,PDL,35,35
331-84704620,LIS,TER,13,13
331-84704631,LIS,SMA,12,12
331-84704642,LIS,SMA,5,5
047-05862054,LIS,DFW,74,74
221-03763266,LIS,FNC,17,17
047-05862065,LIS,MPM,124,"186,67"
047-05862076,LIS,MPM,20,"22,82"
047-05862080,LIS,FNC,"7,5","7,5"
047-05862091,LIS,MPM,144,"209,96"
221-03763270,LIS,FNC,4,4
057-94481052,LIS,SSG,380,"465,67"
118-11413872,LIS,CAB,1,1
047-05862113,LIS,MPM,21,"21,44"
331-84704653,LIS,PDL,47,"169,77"
047-05862135,LIS,MPM,125,125
221-03763281,LIS,FNC,61,61
331-84704664,LIS,PDL,71,71
331-84704675,LIS,TER,14,14
331-84704686,LIS,PIX,5,5
331-84704690,LIS,SMA,5,5
331-84704701,LIS,CVU,2,"4,67"
047-05862146,LIS,MPM,153,"271,8"
221-03763292,LIS,FNC,44,44
118-11413905,LIS,LAD,1564,1564
331-84704712,LIS,PDL,60,60
331-84704723,LIS,TER,9,9
057-94481063,LIS,PNR,"78,5",88
047-05862150,LIS,MPM,43,43
221-03763303,LIS,FNC,"735,84","735,84"
331-84704734,LIS,PDL,7,7
047-05862172,LIS,MPM,66,66
331-84704745,LIS,SJZ,23,"30,37"
221-03763314,LIS,FNC,4,"10,3"
057-94481074,LIS,SSG,17,32
235-78363191,LIS,ICN,197,"225,37"
157-14149940,PEK,MPM,177,177
221-03763325,LIS,FNC,40,40
331-84704756,LIS,PDL,41,41
331-84704760,LIS,TER,53,53
331-84704771,LIS,PIX,6,6
118-11413942,LIS,LAD,300,300
118-11413953,LIS,LAD,1980,1980
047-05862194,LIS,MPM,5,5
331-84704782,LIS,TER,2,8
331-84704793,LIS,SJZ,37,"64,53"
047-05862205,LIS,MPM,98,"227,2"
118-11413931,LIS,LAD,709,709
331-84704804,LIS,PDL,15,16
221-03763336,LIS,FNC,13,13
331-84704815,LIS,PDL,41,41
331-84704826,LIS,TER,7,7
047-05862216,LIS,MPM,53,"112,21"
047-05862220,LIS,MPM,95,95
047-05862231,LIS,MPM,204,204
047-05862253,LIS,MPM,10,"18,56"
057-94481085,LIS,SSG,31,40
047-05862264,LIS,MPM,8,"13,33"
118-11413975,LIS,LAD,351,432
221-03763340,LIS,FNC,19,19
118-11413990,LIS,LAD,"7,5","25,67"
235-78363180,LIS,ICN,120,"194,41"
118-11414001,LIS,LAD,57,57
331-84704830,LIS,TER,62,62
057-94481096,LIS,SSG,177,"275,09"
047-05862290,LIS,MPM,51,96
157-25790402,IAD,MPM,109,109
221-03775656,LIS,FNC,42,42
331-84704841,LIS,PDL,38,38
331-84704852,LIS,TER,19,19
331-84704863,LIS,HOR,5,5
118-11423521,LIS,LAD,1350,1350
057-94481100,LIS,SSG,16,"22,4"
057-94481111,LIS,SSG,6,"9,07"
047-05862312,LIS,MPM,3,3
221-03775660,LIS,FNC,4,"10,3"
047-05862323,LIS,MPM,85,"87,91"
047-05862334,LIS,MPM,41,"93,6"
470-20172143,LIS,TMS,181,224
118-11423554,LIS,LAD,720,"735,95"
221-03775671,LIS,FNC,31,31
331-84704874,LIS,PDL,26,26
331-84704885,LIS,TER,5,5
331-84704896,LIS,SJZ,40,"72,4"
047-05862345,LIS,MPM,28,"30,4"
047-05862356,LIS,MPM,310,"491,2"
235-78363202,LIS,ISB,806,"1333,23"
047-05862360,LIS,MPM,866,866
047-05862371,LIS,MPM,111,"204,3"
331-84704900,LIS,PDL,15,"16,85"
221-03775682,LIS,FNC,9,"9,63"
057-94481122,LIS,SSG,26,26
047-05862382,LIS,MPM,358,358
047-05862393,LIS,JFK,62,"97,58"
047-05862404,LIS,MPM,159,"251,2"
047-05862415,LIS,MPM,548,548
118-11423576,LIS,CBT,50,50
047-05862426,LIS,MPM,1,2
047-05862430,LIS,MPM,3,3
221-03775693,LIS,FNC,26,26
331-84704911,LIS,PDL,52,52
331-84704922,LIS,TER,87,87
331-84704933,LIS,PIX,5,5
047-05862441,LIS,MPM,242,242
047-05862452,LIS,MPM,246,246
932-48954334,MIL,LOS,90,261
118-11423580,LIS,LAD,"45,5","45,5"
118-11423602,LIS,LAD,787,787
221-03775704,LIS,FNC,15,"25,92"
047-05862463,LIS,MPM,6,6
047-05862474,LIS,MPM,753,753
118-11423613,LIS,LAD,295,"358,4"
047-05862485,LIS,MPM,48,"69,07"
047-05862496,LIS,MPM,272,272
221-03775715,LIS,FNC,24,24
331-84704944,LIS,PDL,9,9
331-84704955,LIS,TER,14,14
331-84704966,LIS,SMA,16,16
331-84704970,LIS,PIX,8,8
047-05862500,LIS,MPM,61,"92,66"
221-03233344,LIS,FNC,10,10
047-05862522,LIS,MPM,23,23
221-03775726,LIS,FNC,5,5
047-05862533,LIS,MPM,212,212
047-05862544,LIS,MPM,21,"27,62"
331-84704981,LIS,PDL,35,35
047-05862555,LIS,MPM,3,3
331-84704992,LIS,SJZ,20,"32,02"
331-84705003,LIS,PDL,101,101
057-94481133,LIS,SSG,297,"489,69"
221-03775730,LIS,FNC,10,"16,5"
221-03775741,LIS,FNC,36,36
331-84705014,LIS,PDL,41,41
331-84705025,LIS,TER,19,19
331-84705036,LIS,PIX,6,6
331-84705040,LIS,HOR,7,7
331-84705051,LIS,SJZ,2,2
118-11423646,LIS,LAD,308,308
118-11423650,LIS,LAD,634,634
118-11423661,LIS,LAD,"7,5","7,5"
047-05862581,LIS,MPM,11,32
047-05862592,LIS,MPM,65,"66,99"
