Airline,Airline Id,Origem,Origem Id,Destino,Destino Id,Rota,1
2B,410,AER,2965,KZN,2990,,1
2B,410,ASF,2966,KZN,2990,,1
2B,410,ASF,2966,MRV,2962,,1
2B,410,CEK,2968,KZN,2990,,1
2B,410,CEK,2968,OVB,4078,,1
2B,410,DME,4029,KZN,2990,,1
2B,410,DME,4029,NBC,6969,,1
2B,410,DME,4029,TGK,\N,,1
2B,410,DME,4029,UUA,6160,,1
2B,410,EGO,6156,KGD,2952,,1
2B,410,EGO,6156,KZN,2990,,1
2B,410,GYD,2922,NBC,6969,,1
2B,410,KGD,2952,EGO,6156,,1
2B,410,KZN,2990,AER,2965,,1
2B,410,KZN,2990,ASF,2966,,1
2B,410,KZN,2990,CEK,2968,,1
2B,410,KZN,2990,DME,4029,,1
2B,410,KZN,2990,EGO,6156,,1
2B,410,KZN,2990,LED,2948,,1
2B,410,KZN,2990,SVX,2975,,1
2B,410,LED,2948,KZN,2990,,1
2B,410,LED,2948,NBC,6969,,1
2B,410,LED,2948,UUA,6160,,1
2B,410,MRV,2962,ASF,2966,,1
2B,410,NBC,6969,DME,4029,,1
2B,410,NBC,6969,GYD,2922,,1
2B,410,NBC,6969,LED,2948,,1
2B,410,NBC,6969,SVX,2975,,1
2B,410,NJC,2972,SVX,2975,,1
2B,410,NJC,2972,UUA,6160,,1
2B,410,NUX,4364,SVX,2975,,1
2B,410,OVB,4078,CEK,2968,,1
2B,410,OVB,4078,SVX,2975,,1
2B,410,SVX,2975,KZN,2990,,1
2B,410,SVX,2975,NBC,6969,,1
2B,410,SVX,2975,NJC,2972,,1
2B,410,SVX,2975,NUX,4364,,1
2B,410,SVX,2975,OVB,4078,,1
2B,410,TGK,\N,DME,4029,,1
2B,410,UUA,6160,DME,4029,,1
2B,410,UUA,6160,LED,2948,,1
2B,410,UUA,6160,NJC,2972,,1
2G,1654,BTK,2936,IKT,2937,,1
2G,1654,BTK,2936,OVB,4078,,1
2G,1654,CEK,2968,OVB,4078,,1
2G,1654,HTA,2935,IKT,2937,,1
2G,1654,IKT,2937,BTK,2936,,1
2G,1654,IKT,2937,HTA,2935,,1
2G,1654,IKT,2937,KCK,\N,,1
2G,1654,IKT,2937,ODO,8944,,1
2G,1654,IKT,2937,OVB,4078,,1
2G,1654,IKT,2937,UKX,6924,,1
2G,1654,IKT,2937,ULK,9026,,1
2G,1654,IKT,2937,YKS,2923,,1
2G,1654,KCK,\N,IKT,2937,,1
2G,1654,MJZ,2925,OVB,4078,,1
2G,1654,ODO,8944,IKT,2937,,1
2G,1654,OVB,4078,BTK,2936,,1
2G,1654,OVB,4078,CEK,2968,,1
2G,1654,OVB,4078,IKT,2937,,1
2G,1654,UKX,6924,IKT,2937,,1
2G,1654,ULK,9026,IKT,2937,,1
2G,1654,YKS,2923,IKT,2937,,1
2I,8359,AYP,2786,LIM,2789,,1
2I,8359,CUZ,2812,LIM,2789,,1
2I,8359,CUZ,2812,PEM,2808,,1
2I,8359,HUU,6067,LIM,2789,,1
2I,8359,IQT,2801,PCL,2781,,1
2I,8359,IQT,2801,TPP,2806,,1
2I,8359,LIM,2789,AYP,2786,,1
2I,8359,LIM,2789,CUZ,2812,,1
2I,8359,LIM,2789,HUU,6067,,1
2I,8359,LIM,2789,PCL,2781,,1
2I,8359,LIM,2789,TPP,2806,,1
2I,8359,PCL,2781,IQT,2801,,1
2I,8359,PCL,2781,LIM,2789,,1
2I,8359,PCL,2781,TPP,2806,,1
2I,8359,PEM,2808,CUZ,2812,,1
2I,8359,TPP,2806,IQT,2801,,1
2I,8359,TPP,2806,LIM,2789,,1
2I,8359,TPP,2806,PCL,2781,,1
2J,470,ABJ,253,BOY,247,,1
2J,470,ABJ,253,OUA,246,,1
2J,470,ACC,248,OUA,246,,1
2J,470,BKO,1044,ABJ,253,,1
2J,470,BKO,1044,DKR,1084,,1
2J,470,BKO,1044,OUA,246,,1
2J,470,BOY,247,ABJ,253,,1
2J,470,BOY,247,OUA,246,,1
2J,470,COO,245,LFW,298,,1
2J,470,COO,245,OUA,246,,1
2J,470,DKR,1084,BKO,1044,,1
2J,470,DKR,1084,OUA,246,,1
2J,470,LFW,298,OUA,246,,1
2J,470,NIM,280,OUA,246,,1
2J,470,OUA,246,ABJ,253,,1
2J,470,OUA,246,ACC,248,,1
2J,470,OUA,246,BKO,1044,,1
2J,470,OUA,246,BOY,247,,1
2J,470,OUA,246,COO,245,,1
2J,470,OUA,246,DKR,1084,,1
2J,470,OUA,246,LFW,298,,1
2J,470,OUA,246,NIM,280,,1
2K,1338,BOG,2709,GYE,2673,,1
2K,1338,BOG,2709,UIO,2688,,1
2K,1338,CLO,2715,GYE,2673,,1
2K,1338,GYE,2673,BOG,2709,,1
2K,1338,GYE,2673,CLO,2715,,1
2K,1338,GYE,2673,SCY,6045,,1
2K,1338,GYE,2673,UIO,2688,,1
2K,1338,OCC,2670,UIO,2688,,1
2K,1338,SCY,6045,GYE,2673,,1
2K,1338,UIO,2688,BOG,2709,,1
2K,1338,UIO,2688,GYE,2673,,1
2K,1338,UIO,2688,OCC,2670,,1
2L,2750,BDS,1506,ZRH,1678,,1
2L,2750,BOD,1264,ZRH,1678,,1
2L,2750,BRS,490,ZRH,1678,,1
2L,2750,GVA,1665,LPA,1054,,1
2L,2750,LCA,1197,ZRH,1678,,1
2L,2750,LPA,1054,ZRH,1678,,1
2L,2750,RMF,4197,ZRH,1678,,1
2L,2750,TFS,1056,GVA,1665,,1
2L,2750,ZRH,1678,BDS,1506,,1
2L,2750,ZRH,1678,BOD,1264,,1
2L,2750,ZRH,1678,BRS,490,,1
2L,2750,ZRH,1678,LCA,1197,,1
2L,2750,ZRH,1678,LPA,1054,,1
2L,2750,ZRH,1678,RMF,4197,,1
2N,3652,AJR,730,LYC,719,,1
2N,3652,ARN,737,GEV,715,,1
2N,3652,ARN,737,HAD,709,,1
2N,3652,ARN,737,JKG,688,,1
2N,3652,ARN,737,KRF,718,,1
2N,3652,ARN,737,KSD,5595,,1
2N,3652,ARN,737,LYC,719,,1
2N,3652,ARN,737,MHQ,442,,1
2N,3652,ARN,737,OER,722,,1
2N,3652,ARN,737,POR,448,,1
