awb,source,target,peso,pesotaxavel
047-09466984,OPO,TER,1.0,1.0
125-91972650,OPO,JFK,29.0,32.0
17626099706,OPO,ABJ,39.6,39.6
7549658486,OPO,MEX,111.0,176.0
047-09467021,OPO,FNC,18.0,18.0
235-15605402,OPO,ACC,130.0,130.0
235-15605413,OPO,GZT,703.0,955.0
11811346090,LIS,LAD,142.0,142.0
047-09467043,OPO,PDL,1.0,1.0
047-09467054,OPO,TER,1.0,1.0
33187682770,OPO,SMA,1.0,1.0
17626099743,OPO,DXB,10875.0,10875.0
2047244960,OPO,ABJ,424.0,424.0
176-26110486,OPO,RUH,200.0,200.0
047-09467065,OPO,VXE,6.0,6.0
40654019766,OPO,DXB,1555.0,1555.0
125-68496842,OPO,JFK,176.0,176.0
047-09467091,OPO,RIO,70.0,70.0
047-09467102,OPO,PDL,1.0,1.0
047-09467113,OPO,TER,1.0,1.0
11811346123,LIS,LAD,19.0,19.0
7549658490,OPO,SDQ,13.0,13.0
047-09467150,OPO,FNC,20.0,20.0
5791680702,OPO,ALG,0.3,0.73
23578358615,OPO,CAI,80.0,105.86
235-15605435,OPO,KWI,94.0,120.0
33187682781,OPO,PDL,28.0,34.67
235-15605450,OPO,ALG,75.0,96.0
176-26110490,OPO,TPE,85.0,85.0
047-09467183,OPO,PDL,1.0,1.0
047-09467194,OPO,TER,1.0,1.0
33187682792,OPO,SMA,1.0,1.0
176-26110501,OPO,KIX,153.0,153.0
047-09467220,OPO,FNC,16.1,16.1
7549658501,OPO,MEX,800.0,800.0
176-26110512,OPO,SFO,140.0,200.0
047-09467231,OPO,BRU,2.0,2.0
047-09467253,OPO,LAD,70.0,126.0
33187682803,OPO,PDL,1.0,1.0
33187682814,OPO,TER,1.0,1.0
33187682825,OPO,GRW,1.0,1.0
125-93195535,OPO,LOS,196.0,196.0
235-15605446,OPO,AMM,11.0,11.0
33187682836,OPO,TER,1.0,1.0
11811346193,LIS,LAD,30.0,30.0
33187682840,OPO,PDL,1.0,1.0
33187682851,OPO,TER,1.0,1.0
33187682862,OPO,SMA,1.0,1.0
125-93195550,OPO,LHR,0.78,1.06
2047245004,OPO,ABJ,1098.0,1263.33
235-15605472,OPO,MLE,70.0,101.67
33187682873,OPO,PDL,1.0,1.0
33187682884,OPO,TER,1.0,1.0
11811346226,LIS,CAB,34.53,45.0
11811346230,LIS,LAD,75.0,100.0
235-15605505,OPO,PNH,124.2,124.2
11811346263,LIS,LAD,85.0,85.0
33187682895,OPO,PDL,1.0,1.0
33187682906,OPO,TER,1.0,1.0
33187682910,OPO,SMA,1.0,1.0
125-93195631,LIS,JNB,495.0,495.0
11811346285,LIS,LAD,96.0,96.0
11811346296,LIS,LAD,43.0,43.0
176-26110560,OPO,MEL,25.0,25.0
157-11644743,OPO,MFM,423.0,595.17
33187682921,OPO,PDL,40.0,41.67
33187682932,OPO,PDL,1.0,1.0
33187682943,OPO,TER,1.0,1.0
047-09467312,OPO,FNC,1.0,1.0
047-09467356,OPO,MPM,44.0,44.0
118-11365911,JNB,LAD,9.0,22.07
176-60975600,OPO,SCL,24.0,24.0
33187682954,OPO,PDL,1.0,1.0
331-88060361,OPO,TER,1.0,1.0
331-88060372,OPO,SMA,1.0,1.0
118-11417033,LIS,LAD,109.0,109.0
235-15605516,OPO,SGN,340.0,416.0
235-15605520,OPO,KUL,340.0,416.0
118-11417070,LIS,CAB,18.0,18.0
176-60975611,OPO,DKR,40.0,40.0
125-93199982,OPO,LOS,220.0,220.0
331-88060383,OPO,PDL,1.0,1.0
118-11417055,LIS,CAB,13.0,13.0
118-11417066,LIS,CAB,12.0,12.0
176-60975622,OPO,MEL,60.0,60.0
331-88060394,OPO,PDL,1.0,1.0
331-88060405,OPO,TER,1.0,1.0
118-11417092,LIS,LAD,60.0,72.0
047-09467393,OPO,FNC,16.0,16.0
176-60975633,OPO,SFO,125.0,200.0
331-88060416,OPO,PDL,1.0,1.0
331-88060420,OPO,TER,1.0,1.0
331-88060431,OPO,SMA,1.0,1.0
118-11417136,LIS,LAD,82.0,82.0
047-09467430,OPO,MPM,332.0,332.0
OPOAE2100345,OPO,DIJ,3.1,7.21
047-09467441,OPO,FNC,44.0,44.0
047-09467463,OPO,OXB,16.45,16.45
157-17102536,OPO,MFM,407.0,576.0
047-09467474,OPO,FNC,1.5,4.0
331-88060442,OPO,PDL,1.0,1.0
331-88060453,OPO,TER,1.0,1.0
331-88060464,OPO,GRW,1.0,1.0
118-11417206,LIS,LAD,110.0,128.0
331-88060475,OPO,PDL,72.0,80.0
331-88060486,OPO,HOR,50.0,50.0
331-88060490,OPO,SMA,46.0,48.0
047-09467485,OPO,FNC,64.0,64.0
176-60975666,OPO,MEL,60.0,60.0
125-93200063,OPO,JNB,97.0,97.0
331-88060501,OPO,SJZ,75.0,206.0
331-88060512,OPO,PIX,1.28,3.17
331-88060523,OPO,PDL,1.0,1.0
331-88060534,OPO,TER,1.0,1.0
331-88060545,OPO,SMA,1.0,1.0
118-11417243,LIS,LAD,328.0,328.0
176-60975681,OPO,ADD,582.0,582.0
020-96252564,OPO,SFO,202.0,328.0
176-60975692,OPO,PVG,343.0,343.0
331-88060556,OPO,PDL,1.0,1.0
331-88060560,OPO,TER,1.0,1.0
118-11417280,LIS,LAD,207.0,207.0
331-88060571,OPO,SJZ,50.0,169.71
047-09467544,OPO,FNC,12.0,12.0
176-64182812,OPO,CAI,582.0,582.0
331-88060582,OPO,PDL,1.0,1.0
331-88060593,OPO,TER,1.0,1.0
331-88060604,OPO,SMA,1.0,1.0
331-88060615,OPO,HOR,60.0,69.44
118-11470524,LIS,LAD,40.0,45.0
118-11470535,LIS,LAD,33.0,33.0
075-49672291,OPO,SCL,108.6,108.6
047-09467581,OPO,FNC,3.0,4.4
157-17103715,OPO,MFM,413.0,580.0
331-88060626,OPO,PDL,1.0,1.0
331-88060630,OPO,TER,1.0,1.0
331-88060641,OPO,GRW,1.0,1.0
176-64182823,OPO,HYD,396.4,503.33
331-88060652,OPO,SJZ,34.0,118.83
235-15605564,OPO,MLE,24.0,30.0
5791680735,OPO,FDF,342.0,342.0
331-88060663,OPO,SJZ,28.0,84.67
020-96252634,OPO,SFO,260.0,328.0
118-11470561,LIS,LAD,63.0,63.0
047-09467603,OPO,FNC,22.0,22.0
